"","NKR.OL.Open","NKR.OL.High","NKR.OL.Low","NKR.OL.Close","NKR.OL.Volume","NKR.OL.Adjusted"
"163",19.25,19.25,19.139999,19.25,2093,4.594861
"164",19.25,19.25,18.700001,18.92,5487,4.516091
"165",18.370001,19.25,17.709999,19.25,111004,4.594861
"166",19.25,19.25,18.48,19.139999,52001,4.568604
"167",19.25,19.25,18.26,19.25,134917,4.594861
"168",19.25,19.25,18.59,19.030001,51239,4.542348
"169",19.030001,19.030001,18.59,18.92,22594,4.516091
"170",18.15,18.92,18.15,18.92,43271,4.516091
"171",18.15,18.700001,18.15,18.700001,21847,4.463579
"172",18.370001,18.700001,18.370001,18.48,24870,4.411067
"173",18.48,18.48,18.370001,18.48,46315,4.411067
"174",18.370001,18.59,18.26,18.48,89057,4.411067
"175",18.370001,18.370001,18.26,18.370001,90181,4.38481
"176",18.59,18.59,18.15,18.15,31669,4.332297
"177",18.48,18.700001,18.26,18.48,49414,4.411067
"178",18.26,18.48,18.26,18.26,41758,4.358554
"179",18.26,18.59,18.26,18.26,78917,4.358554
"180",18.040001,18.040001,17.93,18.040001,14762,4.306041
"181",17.379999,17.6,16.940001,16.940001,368053,4.043478
"182",16.940001,17.379999,16.83,17.379999,42225,4.148503
"183",18.700001,18.700001,17.93,18.040001,17514,4.306041
"184",18.59,18.700001,18.040001,18.59,65712,4.437322
"185",17.6,18.26,17.049999,18.26,2932,4.358554
"186",18.48,18.48,17.93,17.93,7392,4.279784
"187",17.709999,18.15,17.709999,17.93,25345,4.279784
"188",17.709999,17.709999,17.49,17.6,22663,4.201016
"189",17.6,17.6,17.6,17.6,0,4.201016
"190",17.6,18.48,17.6,17.6,54572,4.201016
"191",17.709999,17.709999,17.379999,17.6,4766,4.201016
"192",18.48,19.139999,18.370001,18.370001,256500,4.38481
"193",18.370001,18.370001,18.040001,18.370001,137006,4.38481
"194",18.370001,18.48,18.15,18.26,50869,4.358554
"195",18.48,18.700001,18.15,18.26,65839,4.358554
"196",18.48,18.809999,18.48,18.809999,11497,4.489835
"197",18.809999,19.139999,18.809999,19.139999,17974,4.568604
"198",19.25,19.58,19.139999,19.469999,27593,4.647373
"199",19.58,19.58,19.25,19.469999,34216,4.647373
"200",19.690001,19.690001,19.360001,19.690001,78660,4.699886
"201",19.58,19.799999,19.360001,19.690001,32229,4.699886
"202",19.690001,19.690001,19.58,19.690001,50051,4.699886
"203",19.690001,19.690001,19.469999,19.58,15371,4.67363
"204",19.58,19.58,19.469999,19.469999,27075,4.647373
"205",19.799999,19.799999,19.139999,19.25,35297,4.594861
"206",19.360001,19.360001,18.26,18.92,92412,4.516091
"207",18.92,19.139999,18.92,19.139999,19348,4.568604
"208",19.139999,19.139999,18.92,19.030001,17654,4.542348
"209",19.030001,19.030001,18.700001,18.92,72786,4.516091
"210",18.92,19.25,18.92,19.25,31469,4.594861
"211",19.25,19.58,18.92,19.139999,53470,4.568604
"212",19.139999,19.139999,18.92,18.92,12472,4.516091
"213",18.92,18.92,18.92,18.92,0,4.516091
"214",19.030001,19.030001,18.92,18.92,2200,4.516091
"215",18.92,18.92,18.92,18.92,0,4.516091
"216",19.139999,19.58,18.26,19.58,76473,4.67363
"217",19.25,19.469999,18.809999,18.809999,33259,4.489835
"218",19.360001,19.360001,18.48,18.59,72725,4.437322
"219",19.139999,19.139999,18.92,19.030001,13650,4.542348
"220",18.809999,19.139999,18.809999,19.030001,3519,4.542348
"221",19.030001,19.139999,18.700001,19.139999,29773,4.568604
"222",19.139999,19.139999,19.139999,19.139999,0,4.568604
"223",19.139999,19.139999,19.030001,19.030001,54927,4.542348
"224",19.030001,19.139999,18.370001,18.370001,17043,4.38481
"225",18.48,19.030001,18.48,19.030001,52790,4.542348
"226",18.92,18.92,18.700001,18.700001,8994,4.463579
